width: 69 pixels
height: 3289 pixels
channels: 3


('125.60', '215.00', '244.67')
('115.20', '213.33', '242.53')
('128.27', '219.13', '248.20')
('122.20', '214.20', '242.73')
('122.80', '213.87', '241.60')
('111.67', '215.93', '246.27')
('107.20', '212.67', '242.67')
('103.60', '211.47', '242.13')
('112.93', '213.40', '243.87')
('109.27', '208.33', '240.13')
('110.87', '214.47', '244.87')
('107.07', '212.33', '245.93')
('92.93', '206.60', '239.33')
('82.27', '196.47', '230.93')
('99.27', '207.87', '241.13')
('97.60', '208.60', '241.13')
('97.73', '209.87', '241.13')
('99.60', '208.00', '243.60')
('92.07', '206.20', '239.93')
('83.47', '204.00', '239.33')
('87.07', '205.13', '240.07')
('85.93', '204.80', '239.13')
('85.67', '205.73', '239.80')
('118.00', '209.53', '238.07')
('11.07', '182.20', '228.27')
('11.53', '182.13', '230.80')
('13.27', '185.40', '233.40')
('11.47', '181.73', '230.53')
('14.00', '183.93', '232.73')
('12.20', '182.93', '233.27')
('5.73', '177.67', '227.73')
('8.60', '178.60', '229.60')
('12.13', '179.13', '231.13')
('11.27', '178.33', '230.33')
('12.33', '179.53', '231.53')
('10.00', '180.00', '231.00')
('6.60', '173.60', '226.27')
('9.33', '174.33', '228.33')
('7.40', '175.13', '228.13')
('7.80', '175.00', '228.00')
('7.13', '172.67', '225.20')
('6.40', '172.60', '226.00')
('5.00', '172.00', '225.20')
('6.80', '171.80', '227.80')
('6.00', '171.00', '227.00')
('5.87', '170.87', '226.87')
('5.33', '170.33', '226.33')
('5.60', '170.60', '226.60')
('3.80', '168.80', '224.80')
('4.27', '167.27', '224.27')
('4.40', '167.40', '224.40')
('3.67', '166.67', '223.67')
('5.00', '166.47', '223.73')
('3.40', '167.67', '224.00')
