

(27.4, 38.53333333333333, 17.933333333333334)
(36.93333333333333, 34.333333333333336, 25.533333333333335)
(30.866666666666667, 35.06666666666667, 20.666666666666668)
(35.333333333333336, 39.8, 22.333333333333332)
(36.06666666666667, 43.266666666666666, 23.866666666666667)
(28.8, 31.466666666666665, 15.066666666666666)
(36.06666666666667, 34.2, 23.266666666666666)
(37.53333333333333, 35.2, 23.0)
(30.666666666666668, 29.4, 19.066666666666666)
(36.266666666666666, 38.06666666666667, 26.066666666666666)
(30.466666666666665, 34.46666666666667, 18.6)
(31.0, 35.0, 17.8)
(31.066666666666666, 32.06666666666667, 20.266666666666666)
(30.0, 30.466666666666665, 19.666666666666668)
(30.6, 31.4, 16.0)
(30.0, 33.86666666666667, 19.8)
(32.666666666666664, 31.866666666666667, 20.8)
(35.4, 28.8, 19.133333333333333)
(32.2, 34.0, 18.4)
(30.333333333333332, 33.0, 18.133333333333333)
(29.733333333333334, 29.6, 15.866666666666667)
(32.93333333333333, 32.86666666666667, 18.4)
(31.0, 34.13333333333333, 18.333333333333332)
(30.933333333333334, 31.4, 16.533333333333335)
(28.8, 28.733333333333334, 14.133333333333333)
(30.2, 28.866666666666667, 14.8)
(32.0, 30.133333333333333, 16.333333333333332)
(32.8, 31.133333333333333, 19.933333333333334)
(30.266666666666666, 29.666666666666668, 18.333333333333332)
(29.666666666666668, 24.733333333333334, 15.333333333333334)
(30.8, 26.866666666666667, 16.6)
(30.933333333333334, 31.533333333333335, 17.866666666666667)
(29.533333333333335, 24.533333333333335, 13.0)
(26.933333333333334, 26.133333333333333, 12.933333333333334)
(29.6, 29.0, 15.8)
(26.733333333333334, 27.866666666666667, 12.6)
(32.6, 31.6, 17.933333333333334)
(34.46666666666667, 31.533333333333335, 16.933333333333334)
(33.6, 32.0, 13.133333333333333)
(32.0, 27.0, 12.0)
(32.333333333333336, 24.666666666666668, 12.466666666666667)
(32.06666666666667, 24.8, 12.933333333333334)
(31.0, 26.8, 12.266666666666667)
(35.13333333333333, 26.733333333333334, 15.6)
(33.06666666666667, 28.266666666666666, 14.933333333333334)
(29.4, 23.8, 7.733333333333333)
(29.066666666666666, 18.933333333333334, 2.7333333333333334)
(32.2, 23.8, 4.466666666666667)
(29.066666666666666, 27.333333333333332, 3.2)
(29.533333333333335, 21.666666666666668, 5.933333333333334)
(25.066666666666666, 16.533333333333335, 34.266666666666666)
(27.666666666666668, 18.8, 19.2)
(33.53333333333333, 16.8, 2.4)
(29.466666666666665, 9.533333333333333, 43.733333333333334)
(29.533333333333335, 16.133333333333333, 43.0)
(26.266666666666666, 10.666666666666666, 36.333333333333336)
(27.733333333333334, 18.666666666666668, 31.466666666666665)
(26.733333333333334, 3.2666666666666666, 31.333333333333332)
(22.266666666666666, 18.066666666666666, 24.066666666666666)
(24.133333333333333, 1.3333333333333333, 26.466666666666665)
(27.066666666666666, 5.466666666666667, 30.533333333333335)
(27.666666666666668, 5.733333333333333, 31.6)
(25.333333333333332, 17.2, 26.866666666666667)
(26.6, 3.0, 26.066666666666666)
(19.533333333333335, 22.533333333333335, 18.933333333333334)
(18.333333333333332, 14.4, 6.533333333333333)
(12.333333333333334, 25.666666666666668, 11.266666666666667)
(13.8, 39.2, 23.933333333333334)
(11.866666666666667, 46.8, 25.2)
(13.0, 24.266666666666666, 21.533333333333335)
(18.066666666666666, 17.733333333333334, 46.2)
(17.066666666666666, 19.066666666666666, 32.666666666666664)
(17.333333333333332, 23.866666666666667, 3.933333333333333)
(13.733333333333333, 20.333333333333332, 31.6)
(13.0, 16.2, 37.266666666666666)
(16.6, 18.4, 37.266666666666666)
(46.333333333333336, 30.4, 29.466666666666665)
(41.0, 31.333333333333332, 35.733333333333334)
(47.666666666666664, 45.93333333333333, 38.4)
(45.2, 43.266666666666666, 18.666666666666668)
(41.86666666666667, 37.0, 32.53333333333333)
(42.666666666666664, 23.533333333333335, 16.4)
(28.533333333333335, 42.86666666666667, 22.466666666666665)
(27.266666666666666, 26.066666666666666, 35.46666666666667)
(39.4, 10.466666666666667, 19.933333333333334)
(35.666666666666664, 14.066666666666666, 48.733333333333334)
(37.46666666666667, 31.866666666666667, 39.266666666666666)
(29.666666666666668, 20.933333333333334, 32.53333333333333)
(16.666666666666668, 33.2, 23.266666666666666)
(29.266666666666666, 6.066666666666666, 2.2666666666666666)
(27.733333333333334, 9.2, 22.4)
(33.333333333333336, 16.2, 3.3333333333333335)
(37.333333333333336, 10.733333333333333, 4.6)
(40.6, 31.933333333333334, 5.666666666666667)
(38.8, 34.2, 20.6)
(23.2, 28.933333333333334, 25.266666666666666)
(12.266666666666667, 41.6, 22.8)
(14.6, 34.666666666666664, 26.266666666666666)
(13.533333333333333, 36.86666666666667, 20.666666666666668)
(17.066666666666666, 18.066666666666666, 19.866666666666667)
(22.4, 8.8, 24.2)
(24.333333333333332, 48.4, 25.2)
(25.0, 44.2, 23.2)
(19.333333333333332, 44.06666666666667, 20.4)
(21.2, 45.666666666666664, 16.666666666666668)
(20.066666666666666, 42.6, 14.133333333333333)
(22.933333333333334, 41.6, 20.066666666666666)
(26.2, 41.733333333333334, 21.666666666666668)
(17.666666666666668, 35.2, 14.8)
(18.2, 36.266666666666666, 15.733333333333333)
(18.8, 34.13333333333333, 14.6)
(16.066666666666666, 29.6, 9.133333333333333)
(16.6, 29.933333333333334, 7.733333333333333)
(14.466666666666667, 27.2, 6.0)
(13.066666666666666, 23.666666666666668, 6.933333333333334)
(9.0, 18.8, 3.6666666666666665)
(6.533333333333333, 19.933333333333334, 1.6666666666666667)
